index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,treasury_balance,total_funding_invested,total_wealth,new_creators_this_step,new_investors_this_step,new_users_this_step,locked_funding_positions,honor_seal_honest_contribution_count,honor_seal_fake_contribution_count,honor_seal_dishonored_contribution_count,honor_seal_sealed_usage_share,honor_seal_dishonored_usage_share,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run,tracing_true_links,tracing_detected_true_links,tracing_false_positive_links,tracing_missed_true_links
239,240,2311,37,30,6,60,0.11100000000000006,25.878000000000867,0.2618228081786753,1.2735657666137192,0.5,0.8684161903864029,0.18242552380635635,0,0,0,1530,90,691,4452.540455546903,2046.2092035937821,1987.0599131250178,6439.600368672194,2046.2092035937821,0.0,0.7588669429630648,0.24113305703693516,0.0,166.06842773437486,900.0,9551.877999999986,0,0,0,0,0,0,0,0.0,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6397931236934346,0.18242552380635635,2220,1793,19,427
239,240,2219,38,30,6,60,0.11400000000000006,26.601000000000894,0.24103514784842028,1.271744479646696,0.5,0.8683929472653392,0.18242552380635635,0,0,0,1483,90,646,4440.811824531255,2044.5700453125553,2273.875486562524,6714.687311094144,2044.5700453125553,0.0,0.7665818045844818,0.23341819541551834,0.0,134.34364359375007,900.0,9793.600999999986,0,0,0,0,0,0,0,0.0,0.0,1,1,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6421214902540605,0.18242552380635635,2128,1742,18,386
239,240,2284,46,30,6,60,0.13800000000000007,26.18400000000088,0.21674893275873375,1.2906730108573132,0.5,0.8690664738674956,0.18242552380635635,0,0,0,1144,90,1050,3543.099573749946,2061.605723515679,2976.791854531253,6519.891428281626,2061.605723515679,0.0,0.7597615326267518,0.2402384673732482,0.0,172.6868482031253,900.0,9654.183999999987,0,0,0,0,0,0,0,0.0,0.0,2,2,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6419674986597198,0.18242552380635635,2193,1762,32,431
239,240,2226,34,30,6,60,0.10200000000000005,26.118000000000876,0.23039719568135042,1.1234964712817161,0.5,0.8414483399199136,0.18242552380635635,0,0,0,1371,90,765,4544.526149140639,1911.1468368945873,2128.5999214062854,6673.126070547236,1911.1468368945873,0.0,0.7773664866551728,0.22263351334482714,0.0,147.84509255859393,900.0,9632.11799999998,0,0,0,0,0,0,0,0.0,0.0,3,3,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6119090946440782,0.18242552380635635,2135,1715,21,420
239,240,2316,36,30,6,60,0.10800000000000005,26.319000000000884,0.2684743732844175,1.2119715053924034,0.5,0.8598195763581419,0.18242552380635635,0,0,0,1631,90,595,5208.864045000076,1990.7743681250558,1462.996062500014,6671.86010750037,1990.7743681250558,0.0,0.7701883446973762,0.22981165530262382,0.0,136.68452437500022,900.0,9699.318999999989,0,0,0,0,0,0,0,0.0,0.0,4,4,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6284169254492087,0.18242552380635635,2225,1781,27,444
239,240,2190,36,30,6,60,0.10800000000000005,26.163000000000878,0.2124475434805595,1.1558834121031294,0.5,0.8478691888817428,0.18242552380635635,0,0,0,1068,90,1032,3238.98416359372,1940.295083828179,3454.1674642187336,6693.151627812897,1940.295083828179,0.0,0.7752583471428688,0.22474165285713113,0.0,113.7162883593749,900.0,9647.162999999984,0,0,0,0,0,0,0,0.0,0.0,5,5,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6143842204789524,0.18242552380635635,2099,1719,15,380
239,240,2330,45,30,6,60,0.13500000000000006,25.93500000000087,0.2664371843242199,1.0478045080819018,0.5,0.8230635382918102,0.18242552380635635,0,0,0,1548,90,692,4358.336335546858,1843.0240695606071,2373.105164179688,6731.441499726918,1843.0240695606071,0.0,0.7850566831637825,0.2149433168362176,0.0,96.46943071289049,900.0,9570.934999999983,0,0,0,0,0,0,0,0.0,0.0,6,6,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.5908597169404717,0.18242552380635635,2239,1794,25,445
239,240,2278,49,30,6,60,0.14700000000000008,25.71300000000086,0.22893649478240818,1.0532568413463312,0.5,0.8284917744658062,0.18242552380635635,0,0,0,1211,90,977,3622.098880624964,1847.9311695313015,3058.415777187467,6680.514657812878,1847.9311695313015,0.0,0.7833214624396857,0.2166785375603143,0.0,68.26717265624988,900.0,9496.71299999998,0,0,0,0,0,0,0,0.0,0.0,7,7,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.5967005640578226,0.18242552380635635,2187,1718,19,469
239,240,2258,54,30,6,60,0.1620000000000001,25.626000000000857,0.2333730314647977,0.979876932547337,0.5,0.8097703079220002,0.18242552380635635,0,0,0,1289,90,879,4276.525719531198,1781.889251171921,2421.0020515625233,6697.527771094049,1781.889251171921,0.0,0.789857103797008,0.21014289620299195,0.0,88.208977734375,900.0,9467.625999999982,0,0,0,0,0,0,0,0.0,0.0,8,0,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.5803111256796323,0.18242552380635635,2167,1708,28,459
239,240,2153,49,30,6,60,0.14700000000000008,26.130000000000877,0.22924908677997813,1.2313161303502451,0.5,0.8592179509150548,0.18242552380635635,0,0,0,1674,90,389,5126.280049687636,2008.184530703182,1458.3479840625112,6584.628033750365,2008.184530703182,0.0,0.7662948521639387,0.2337051478360614,0.0,143.31743554687506,900.0,9636.12999999998,0,0,0,0,0,0,0,0.0,0.0,9,1,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6296620300831149,0.18242552380635635,2062,1636,16,426
239,240,2262,56,30,6,60,0.1680000000000001,25.92300000000087,0.21151276269904296,0.9604252396214618,0.5,0.8066358423472183,0.18242552380635635,0,0,0,1715,90,457,5263.822409882933,1764.3827274219354,1545.944674062507,6809.767083945676,1764.3827274219354,0.0,0.79422067887329,0.20577932112670996,0.0,92.77318863281265,900.0,9566.922999999984,0,0,0,0,0,0,0,0.0,0.0,10,2,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.5752529482104305,0.18242552380635635,2171,1725,21,446
239,240,2315,32,30,6,60,0.09600000000000004,26.091000000000875,0.2634392325135815,1.2576173305004288,0.5,0.8651990018272778,0.18242552380635635,0,0,0,1541,90,684,4712.822477656257,2031.8556109961366,1823.6450327344137,6536.467510390924,2031.8556109961366,0.0,0.762864263845921,0.237135736154079,0.0,154.76787861328114,900.0,9623.09099999999,0,0,0,0,0,0,0,0.0,0.0,11,3,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6435373250558688,0.18242552380635635,2224,1793,17,431
