index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window
0,1,16,34,30,6,60,0.10200000000000005,0.10200000000000005,0.7939332998156527,0.0007055,0.2093162711041529,0.2810565324833862,0.18242552380635635,0,0,0,10,6,0,0.059670000000000015,0.04233,0.0,0.059670000000000015,0.04233,0.0,0.5849999999999999,0.4149999999999998,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
1,2,32,38,30,6,60,0.11400000000000006,0.21600000000000014,0.6897773758773629,0.0008323749999999999,0.20666518465243486,0.32201938288868415,0.18242552380635635,0,0,0,20,12,0,0.11611500000000001,0.09988500000000007,0.0,0.11611500000000001,0.09988500000000007,0.0,0.5375694444444441,0.46243055555555557,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
2,3,49,35,30,6,60,0.10500000000000005,0.32100000000000023,0.636709139596197,0.0007745208333333333,0.21070546274693516,0.27716982833140563,0.18242552380635635,0,0,0,31,18,0,0.18158624999999998,0.13941375000000003,0.0,0.18158624999999998,0.13941375000000003,0.0,0.5656892523364481,0.4343107476635512,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
3,4,63,40,30,6,60,0.12000000000000006,0.44100000000000034,0.5977938873226831,0.000789984375,0.2127394099096912,0.30420931217911285,0.18242552380635635,0,0,0,39,24,0,0.25140374999999987,0.18959625000000002,0.0,0.25140374999999987,0.18959625000000002,0.0,0.5700765306122442,0.42992346938775483,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
4,5,78,36,30,6,60,0.10800000000000005,0.5490000000000004,0.5756974142118803,0.0007835750000000002,0.20923540373244964,0.2874934537664688,0.18242552380635635,0,0,0,48,30,0,0.31392750000000014,0.2350724999999999,0.0,0.31392750000000014,0.2350724999999999,0.0,0.5718169398907103,0.42818306010928914,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
5,6,96,33,30,6,60,0.09900000000000005,0.6480000000000005,0.5394607189957836,0.000783729166666667,0.20343537282065755,0.2883364220019252,0.18242552380635635,0,0,0,60,36,0,0.36585750000000017,0.28214249999999963,0.0,0.36585750000000017,0.28214249999999963,0.0,0.5645949074074073,0.4354050925925917,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
6,7,110,39,30,6,60,0.11700000000000006,0.7650000000000006,0.5071133322303156,0.0007691205357142862,0.21486767543786325,0.2723879999440328,0.18242552380635635,0,0,0,68,42,0,0.4419693750000003,0.32303062499999874,0.0,0.4419693750000003,0.32303062499999874,0.0,0.5777377450980391,0.42226225490195884,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
7,8,124,34,30,6,60,0.10200000000000005,0.8670000000000007,0.502130909483413,0.0007688164062500005,0.20559124289832212,0.28559765240706986,0.18242552380635635,0,0,0,76,48,0,0.4979681250000005,0.3690318749999985,0.0,0.4979681250000005,0.3690318749999985,0.0,0.5743576989619379,0.4256423010380602,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
8,9,138,29,30,6,60,0.08700000000000004,0.9540000000000007,0.4893925005834008,0.0007647986111111115,0.19961431023380388,0.2835244063251368,0.18242552380635635,0,0,0,84,54,0,0.54100875,0.4129912499999982,0.0,0.54100875,0.4129912499999982,0.0,0.5670951257861632,0.4329048742138343,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
9,10,151,39,30,6,60,0.11700000000000006,1.0709999999999982,0.47504134258730546,0.0007998375000000004,0.2026218882990455,0.3456888921550358,0.18242552380635635,0,0,0,91,60,0,0.5910974999999997,0.4799024999999975,0.0,0.5910974999999997,0.4799024999999975,0.0,0.551911764705883,0.44808823529411607,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
10,11,161,37,30,6,60,0.11100000000000006,1.1819999999999942,0.4660351688066311,0.0008025482954545456,0.2075472648287599,0.3001397410391892,0.18242552380635635,0,0,0,95,66,0,0.6523181249999992,0.5296818749999974,0.0,0.6523181249999992,0.5296818749999974,0.0,0.5518765862944183,0.4481234137055838,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
11,12,172,36,30,6,60,0.10800000000000005,1.2899999999999903,0.43758936309804697,0.0008066263020833332,0.20530664938785795,0.302480245098749,0.18242552380635635,0,0,0,100,72,0,0.7092290624999985,0.5807709374999976,0.0,0.7092290624999985,0.5807709374999976,0.0,0.5497899709302355,0.45021002906976904,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
12,13,186,38,30,6,60,0.11400000000000006,1.4039999999999861,0.43404724310325493,0.0008325036057692307,0.20096926106381435,0.34702898408018273,0.18242552380635635,0,0,0,108,78,0,0.7546471874999982,0.6493528124999977,0.0,0.7546471874999982,0.6493528124999977,0.0,0.5374979967948758,0.4625020032051311,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
13,14,200,33,30,6,60,0.09900000000000005,1.5029999999999826,0.4271895234715424,0.0008300837053571427,0.20293951243713065,0.29168081656648337,0.18242552380635635,0,0,0,116,84,0,0.8057296874999973,0.6972703124999972,0.0,0.8057296874999973,0.6972703124999972,0.0,0.5360809630738567,0.4639190369261512,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
14,15,219,42,30,6,60,0.12600000000000006,1.628999999999978,0.4227724387077403,0.0008477104166666663,0.2070470459171048,0.3378557050468209,0.18242552380635635,0,0,0,129,90,0,0.8660606249999966,0.7629393749999962,0.0,0.8660606249999966,0.7629393749999962,0.0,0.5316517034990843,0.4683482965009248,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
15,16,231,34,30,6,60,0.10200000000000005,1.7309999999999743,0.4128400951382176,0.0009101874999999996,0.2010864199258565,0.313883102706832,0.18242552380635635,0,0,0,141,90,0,0.9118312499999962,0.8191687499999959,0.0,0.9118312499999962,0.8191687499999959,0.0,0.5267655979202829,0.47323440207972733,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
16,17,243,32,30,6,60,0.09600000000000004,1.8269999999999709,0.3954582907606037,0.0009625864583333327,0.20195960438100785,0.2886626342607967,0.18242552380635635,0,0,0,153,90,0,0.9606721874999955,0.8663278124999956,0.0,0.9606721874999955,0.8663278124999956,0.0,0.5258194786535363,0.47418052134647476,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
