index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window
0,1,14,29,30,6,60,0.08700000000000004,0.08700000000000004,0.8635575777272233,0.0006807499999999999,0.20440061988899488,0.27506247644952014,0.18242552380635635,0,0,0,8,6,0,0.046155000000000015,0.04084500000000001,0.0,0.046155000000000015,0.04084500000000001,0.0,0.5305172413793103,0.4694827586206896,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
1,2,29,42,30,6,60,0.12600000000000006,0.21300000000000013,0.8334880341279329,0.0008861874999999998,0.2110693897832279,0.3396166509682159,0.18242552380635635,0,0,0,17,12,0,0.1066575,0.10634250000000015,0.0,0.1066575,0.10634250000000015,0.0,0.500739436619718,0.4992605633802821,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
2,3,43,31,30,6,60,0.09300000000000004,0.3060000000000002,0.7484667211901699,0.0008084375,0.20561171992799138,0.2737357503665296,0.18242552380635635,0,0,0,25,18,0,0.16048125000000005,0.14551875000000028,0.0,0.16048125000000005,0.14551875000000028,0.0,0.5244485294117645,0.4755514705882359,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
3,4,57,33,30,6,60,0.09900000000000005,0.4050000000000003,0.7173789327714442,0.0008198906250000002,0.20275672927428592,0.30197497026335446,0.18242552380635635,0,0,0,33,24,0,0.20822625000000008,0.19677375000000047,0.0,0.20822625000000008,0.19677375000000047,0.0,0.5141388888888887,0.4858611111111119,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
4,5,72,38,30,6,60,0.11400000000000006,0.5190000000000003,0.6846249522974939,0.0008456125000000004,0.20629636518718947,0.3155008789720682,0.18242552380635635,0,0,0,42,30,0,0.26531625000000003,0.25368375000000065,0.0,0.26531625000000003,0.25368375000000065,0.0,0.5112066473988437,0.48879335260115697,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
5,6,88,36,30,6,60,0.10800000000000005,0.6270000000000004,0.6650562770562769,0.000879427083333334,0.20101806481706858,0.3317514971663006,0.18242552380635635,0,0,0,52,36,0,0.31040625,0.31659375000000023,0.0,0.31040625,0.31659375000000023,0.0,0.49506578947368385,0.5049342105263158,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
6,7,102,34,30,6,60,0.10200000000000005,0.7290000000000005,0.6333531321365298,0.000863848214285715,0.20571128513113893,0.2880897550380091,0.18242552380635635,0,0,0,60,42,0,0.36618374999999975,0.3628162499999998,0.0,0.36618374999999975,0.3628162499999998,0.0,0.5023096707818923,0.49769032921810635,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
7,8,115,30,30,6,60,0.09000000000000004,0.8190000000000006,0.6232160642867492,0.0008617265625000011,0.1983938759651345,0.30095524058441675,0.18242552380635635,0,0,0,67,48,0,0.4053712499999996,0.4136287499999998,0.0,0.4053712499999996,0.4136287499999998,0.0,0.4949587912087904,0.5050412087912082,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
8,9,126,35,30,6,60,0.10500000000000005,0.9240000000000007,0.6013059591244083,0.0008884930555555568,0.19781454257584744,0.34143571614056506,0.18242552380635635,0,0,0,72,54,0,0.44421374999999946,0.4797862499999995,0.0,0.44421374999999946,0.4797862499999995,0.0,0.48075081168831074,0.5192491883116874,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
9,10,137,38,30,6,60,0.11400000000000006,1.0379999999999994,0.5893992034987419,0.0008773125000000014,0.2109865219453083,0.2879929929227933,0.18242552380635635,0,0,0,77,60,0,0.5116124999999991,0.5263874999999997,0.0,0.5116124999999991,0.5263874999999997,0.0,0.4928829479768781,0.5071170520231214,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
