index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window
0,1,14,37,30,6,60,0.22200000000000011,0.22200000000000011,0.856916882369859,0.0019615,0.23527807503207343,0.4886365229935319,0.18242552380635635,0,0,0,8,6,0,0.10431000000000003,0.11769000000000007,0.0,0.10431000000000003,0.11769000000000007,0.0,0.46986486486486473,0.5301351351351352,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
1,2,29,38,30,6,60,0.22800000000000012,0.4500000000000003,0.8088738593666132,0.001809375,0.24574737045048092,0.4395672846074832,0.18242552380635635,0,0,0,17,12,0,0.23287499999999997,0.2171250000000005,0.0,0.23287499999999997,0.2171250000000005,0.0,0.5174999999999996,0.4825000000000008,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
2,3,40,33,30,6,60,0.1980000000000001,0.6480000000000005,0.7594940227967748,0.0016016666666666668,0.24418475046577973,0.3612156191909642,0.18242552380635635,0,0,0,22,18,0,0.3596999999999999,0.2883000000000008,0.0,0.3596999999999999,0.2883000000000008,0.0,0.555092592592592,0.4449074074074083,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
3,4,56,30,30,6,60,0.18000000000000008,0.8280000000000006,0.6922038544376379,0.0015879687500000002,0.22024631759350016,0.4217431060006617,0.18242552380635635,0,0,0,32,24,0,0.44688750000000005,0.38111250000000096,0.0,0.44688750000000005,0.38111250000000096,0.0,0.5397192028985504,0.4602807971014501,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
4,5,73,30,30,6,60,0.18000000000000008,1.0080000000000007,0.6666612918679293,0.001576987500000001,0.22130313978602212,0.42096897027578173,0.18242552380635635,0,0,0,43,30,0,0.5349037499999999,0.47309625000000105,0.0,0.5349037499999999,0.47309625000000105,0.0,0.5306584821428567,0.46934151785714356,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
5,6,89,41,30,6,60,0.24600000000000014,1.254000000000001,0.6229247457545086,0.0017615312500000012,0.21951242210345462,0.6156017613374826,0.18242552380635635,0,0,0,53,36,0,0.6198487500000001,0.6341512500000009,0.0,0.6198487500000001,0.6341512500000009,0.0,0.49429724880382747,0.5057027511961727,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
6,7,104,36,30,6,60,0.2160000000000001,1.470000000000001,0.5971230927331954,0.0018289553571428589,0.21822170492828263,0.539405082194362,0.18242552380635635,0,0,0,62,42,0,0.7018387500000001,0.768161250000001,0.0,0.7018387500000001,0.768161250000001,0.0,0.47744132653061194,0.5225586734693881,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
7,8,115,42,30,6,60,0.2520000000000001,1.7220000000000013,0.5795539430995951,0.0019315546875000023,0.2235593580029957,0.6108313448812341,0.18242552380635635,0,0,0,67,48,0,0.7948537499999997,0.9271462500000005,0.0,0.7948537499999997,0.9271462500000005,0.0,0.46158754355400644,0.5384124564459929,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
8,9,130,30,30,6,60,0.18000000000000008,1.9020000000000015,0.530675913368762,0.0018554618055555581,0.23051432453299722,0.36543176312826336,0.18242552380635635,0,0,0,76,54,0,0.9000506249999993,1.0019493750000006,0.0,0.9000506249999993,1.0019493750000006,0.0,0.47321273659305924,0.5267872634069399,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
9,10,150,34,30,6,60,0.2040000000000001,2.1059999999999977,0.5114002255398484,0.001807603125000003,0.236256836394699,0.393332839961855,0.18242552380635635,0,0,0,90,60,0,1.0214381249999989,1.0845618750000015,0.0,1.0214381249999989,1.0845618750000015,0.0,0.4850133547008547,0.5149866452991466,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
