index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window
0,1,15,35,30,6,60,0.10500000000000005,0.10500000000000005,0.7982609966389007,0.0006094999999999999,0.21404719539218206,0.26513457206039787,0.18242552380635635,0,0,0,9,6,0,0.06843000000000002,0.036570000000000005,0.0,0.06843000000000002,0.036570000000000005,0.0,0.6517142857142856,0.34828571428571414,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
1,2,33,35,30,6,60,0.10500000000000005,0.21000000000000013,0.6769148251448183,0.00058475,0.21304601490616765,0.25615325118152965,0.18242552380635635,0,0,0,21,12,0,0.13983000000000004,0.07017000000000008,0.0,0.13983000000000004,0.07017000000000008,0.0,0.6658571428571426,0.3341428571428573,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
2,3,50,37,30,6,60,0.11100000000000006,0.32100000000000023,0.6097871059956368,0.0006755833333333333,0.20693881875248826,0.30416047126089224,0.18242552380635635,0,0,0,32,18,0,0.19939500000000007,0.12160500000000016,0.0,0.19939500000000007,0.12160500000000016,0.0,0.6211682242990652,0.3788317757009348,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
3,4,66,33,30,6,60,0.09900000000000005,0.4200000000000003,0.5324042016313597,0.0006849374999999999,0.20544961373954324,0.27716829254764824,0.18242552380635635,0,0,0,42,24,0,0.2556150000000001,0.16438500000000017,0.0,0.2556150000000001,0.16438500000000017,0.0,0.6086071428571426,0.39139285714285726,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
4,5,81,31,30,6,60,0.09300000000000004,0.5130000000000003,0.49106328370208874,0.00063205,0.21073509655402325,0.23481957365681208,0.18242552380635635,0,0,0,51,30,0,0.32338500000000003,0.18961500000000012,0.0,0.32338500000000003,0.18961500000000012,0.0,0.6303801169590639,0.3696198830409356,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
5,6,93,35,30,6,60,0.10500000000000005,0.6180000000000004,0.4939689665267881,0.0006492708333333334,0.20761523359622297,0.2814470330223258,0.18242552380635635,0,0,0,57,36,0,0.38426250000000006,0.23373750000000013,0.0,0.38426250000000006,0.23373750000000013,0.0,0.6217839805825239,0.3782160194174757,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
6,7,108,32,30,6,60,0.09600000000000004,0.7140000000000005,0.46964661160917,0.000638339285714286,0.20822097321592956,0.2574146553097049,0.18242552380635635,0,0,0,66,42,0,0.44589750000000006,0.2681024999999997,0.0,0.44589750000000006,0.2681024999999997,0.0,0.624506302521008,0.37549369747899086,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
7,8,126,38,30,6,60,0.11400000000000006,0.8280000000000006,0.45046877677413044,0.0006611718750000004,0.2094757244070521,0.2948859152514358,0.18242552380635635,0,0,0,78,48,0,0.5106375000000001,0.31736249999999927,0.0,0.5106375000000001,0.31736249999999927,0.0,0.6167119565217387,0.3832880434782597,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
8,9,151,38,30,6,60,0.11400000000000006,0.9420000000000007,0.43164490307238235,0.0006542361111111116,0.21536647315323787,0.26591417700583736,0.18242552380635635,0,0,0,97,54,0,0.5887124999999999,0.3532874999999987,0.0,0.5887124999999999,0.3532874999999987,0.0,0.6249601910828019,0.3750398089171958,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
9,10,163,41,30,6,60,0.12300000000000007,1.0649999999999984,0.39537329974038293,0.0006884625000000005,0.20812063434926217,0.32479846128940837,0.18242552380635635,0,0,0,103,60,0,0.6519224999999998,0.41307749999999827,0.0,0.6519224999999998,0.41307749999999827,0.0,0.6121338028169022,0.38786619718309756,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
